brand,name,price,link
TECNO ,"Spark 2, 6"", 16GB + 1GB,  (Dual SIM) - Gold","10,499",https://www.jumia.co.ke/spark-2-16gb-rom-1gb-ram-6-hd-13mp8mp-dual-sim-gold-tecno-mpg126306.html
,,,
Samsung ,"Galaxy Note 9, 6.4"", 128GB + 6GB (Single SIM), Ocean Blue","68,000",https://www.jumia.co.ke/galaxy-note-9-6.4-128gb-6gb-ram-12mp-camera-single-sim-ocean-blue-samsung-mpg116463.html
Honor ,"7S 5.45"" 2GB +16GB 3020mAh Dual SIM Smartphone - Black","8,699",https://www.jumia.co.ke/honor-7s-5.45-2gb-16gb-3020mah-dual-sim-smartphone-black-14078404.html
Nokia ,Nokia1100  Mobile Phone Classic Straight Cell Phone,"1,701",https://www.jumia.co.ke/nokia-nokia1100-mobile-phone-classic-straight-cell-phone-14452989.html
X-TIGI ,G53 Tripple SIM card feature phone - Blue tooth Loud Bass Subwoofer- Black.,"1,799",https://www.jumia.co.ke/x-tigi-g53-tripple-sim-card-feature-phone-blue-tooth-loud-bass-subwoofer-black.-15954922.html
TECNO ,"Spark 3 Pro - 6.2"",32GB+2GB (Dual SIM),Gold + FREE OTG Cable","12,500",https://www.jumia.co.ke/spark-3-pro-6.232gb2gb-dual-simgold-free-otg-cable-tecno-mpg163014.html
,,,
TECNO ,T349 - Dual Sim - Dark Black.,"1,263",https://www.jumia.co.ke/t349-dual-sim-dark-black.-tecno-mpg132641.html
Nokia ,Nokia 105 Feature Phone - Black - single sim.,"1,760",https://www.jumia.co.ke/nokia-nokia-105-feature-phone-black-single-sim.-14809980.html
Samsung ,"Galaxy Note 8 6.3-Inch QHD (6GB,64GB ROM) Android 7.1 Nougat,12MP + 8MP Dual SIM 4G LTE Smartphone","49,914",https://www.jumia.co.ke/samsung-galaxy-note-8-6.3-inch-qhd-6gb64gb-rom-android-7.1-nougat12mp-8mp-dual-sim-4g-lte-smartphone-14795709.html
X-TIGI ,"V28- 5.7"" FullView Display- 16GB+1GB- 8MP- 3100mAh- Fingerprint - Android 8.1- Dual SIM- Golden","6,999",https://www.jumia.co.ke/v28-5.7-fullview-display-16gb1gb-8mp-3100mah-fingerprint-android-8.1-dual-sim-golden-x-tigi-mpg130223.html
Huawei ,"Y9 (2019) - 6.5"" - 64GB - 4GB RAM - 16MP+2MP Dual Camera, 4G (Dual SIM) - Black","20,599",https://www.jumia.co.ke/y9-2019-6.5-64gb-4gb-ram-16mp2mp-dual-camera-4g-dual-sim-black-huawei-mpg120521.html
,,,
Apple ,iPhone XS 256GB - Black (nano-SIM And ESIM),"138,000",https://www.jumia.co.ke/iphone-xs-256gb-black-nano-sim-and-esim-apple-mpg124542.html
Huawei ,"Y5 Lite, 5.45"" , 16GB + 1 GB (Dual SIM), Black","7,899",https://www.jumia.co.ke/y5-lite-5.45-16gb-1-gb-dual-sim-3020mah-battery-black-huawei-mpg140514.html
Apple ,"iPhone 7 Plus - 5.5"" - 128GB - 3GB RAM - 12MP Camera - 4G LTE - Single SIM - Gold","57,999",https://www.jumia.co.ke/iphone-7-plus-5.5-128gb-3gb-ram-12mp-camera-4g-lte-single-sim-gold-apple-mpg15460.html
